site,lat,lng,zip,name,address,phone,email,web
"TGIFridays","","","AB24 5NS","Fridays Aberdeen Beach","Esplanade, Sea Beach  Aberdeen AB24 5NS","","",""
"TGIFridays","","","AB11 5RG","Fridays Aberdeen Union Square","14/15 First Level Mall, Union Square, Guild Square Aberdeen AB11 5RG","","",""
"TGIFridays","","","PA4 8XQ","Fridays Braehead","Unit 9 Soar at INTU, Kings Inch Road,Renfrew,PA4 8XQ","","",""
"TGIFridays","","","EH2 3HT","Fridays Edinburgh - Castle Street","26 Castle Street,Edinburgh,EH2 3HT","","",""
"TGIFridays","","","EH15 3RD","Fridays Edinburgh - Fort Kinnaird","Unit 4, Kinnaird Park,Edinburgh,EH15 3RD","","",""
"TGIFridays","","","G1 3HF","Fridays Glasgow Buchanan Street","113 Buchanan Street,Glasgow,G1 3HF","","",""
"TGIFridays","","","G34 9DL","Fridays Glasgow Fort","50 Provan Walk, Glasgow Fort Shopping,Glasgow,G34 9DL","","",""
"TGIFridays","","","G53 6AG","Fridays Silverburn","Unit 35, Silverburn Shopping Centre,Barrhead Road,Glasgow,G53 6AG","","",""
"TGIFridays","","","G34 9DL","Fridays Dundee - FRIDAYS AND GO","26-28 Reform Street,Dundee,DD1 1RH","","",""
"TGIFridays","","","DH1 4SL","Fridays Durham","22-24 Riverwalk Durham DH1 4SL","","",""
"TGIFridays","","","NE16 3BE","Fridays Gateshead","Clasper Way, Swalwell Newcastle Upon Tyne NE16 3BE","","",""
"TGIFridays","","","NE11 9YG","Fridays Metro Centre Gateshead","Unit R11, Qube 2, Metrocentre Gateshead NE11 9YG","","",""
"TGIFridays","","","NE1 7AP","Fridays Newcastle Eldon Square","Northumberland Street Newcastle Upon Tyne NE1 7AP","","",""
"TGIFridays","","","OL7 0PQ","Fridays Ashton Under Lyne","Fold Way Ashton-Under-Lyne OL7 0PQ","","",""
"TGIFridays","","","BL6 6JA","Fridays Bolton","Unit 6a The Linkway,Middlebrook Retail Park,Horwich Bolton,BL6 6JA","","",""
"TGIFridays","","","SK8 3FD","Fridays Cheadle","Royal Crescent,Cheadle,SK8 3FD","","",""
"TGIFridays","","","CH65 9JY","Fridays Cheshire Oaks","Kinsey Road,Ellesmere Port,CH65 9JY","","",""
"TGIFridays","","","L1 8JF","Fridays Liverpool One","14 Paradise Street, The Terrace, Liverpool One,Liverpool,L1 8JF","","",""
"TGIFridays","","","L24 8QB","Fridays Liverpool Speke","Unit L8, New Mersey Retail Park, Speke Road,Liverpool,L24 8QB","","",""
"TGIFridays","","","M60 7RA","Fridays Manchester Piccadilly","Piccadilly Station Upper Concourse,Manchester,M60 7RA","","",""
"TGIFridays","","","M2 7DH","Fridays Manchester Royal Exchange","Royal Exchange Building, Cross Street,Manchester,M2 7DH","","",""
"TGIFridays","","","M17 8AA","Fridays Manchester Trafford Centre","The Great Hall, The Trafford Centre,Manchester,M17 8AA","","",""
"TGIFridays","","","M25 3TG","Fridays Prestwich","Valley Park Road,Prestwich,M25 3TG","","",""
"TGIFridays","","","M33 7JR","Fridays Sale","Cross Street,Sale,M33 7JR","","",""
"TGIFridays","","","S70 1GW","Fridays Barnsley","40 The Glass Works Barnsley S70 1GW","","",""
"TGIFridays","","","WF10 4TA","Fridays Castleford","Xscape, Colorado Way Castleford WF10 4TA","","",""
"TGIFridays","","","HX1 1YA","Fridays Halifax","Unit 14, Broad Street Plaza,Halifax,HX1 1YA","","",""
"TGIFridays","","","LS3 1LW","Fridays Leeds - Wellington Bridge Street","Wellington Bridge Street,Leeds,LS3 1LW","","",""
"TGIFridays","","","WF17 9AD","Fridays Leeds Junction 27 - West Yorkshire Retail Park","West Yorkshire Retail Park, Holden Ing Way,Birstall,WF17 9AD","","",""
"TGIFridays","","","LS11 8LU","Fridays Leeds White Rose","White Rose Shopping Centre Dewsbury Road,Leeds,LS11 8LU","","",""
"TGIFridays","","","S9 1EP","Fridays Meadowhall","52 The Oasis, Meadowhall Sheffield S9 1EP","","",""
"TGIFridays","","","LS1 5AY","Fridays Trinity Leeds","406 Trinity Leeds, Albion Street,Leeds,LS1 5AY","","",""
"TGIFridays","","","S9 2YL","Fridays Sheffield","Sheffield Road, Tinsley Sheffield,S9 2YL","","",""
"TGIFridays","","","TS17 7BG","Fridays Teesside","Haydock Park Road, Teesside Shopping Park, Stockton-On-Tees,Teesside,TS17 7BG","","",""
"TGIFridays","","","DN4 7FW","Fridays Derby Fridays Doncaster","Fridays Doncaster Unit 1, Herten Triangle, Bawtry Road Doncaster DN4 7FW","","",""
"TGIFridays","","","LE1 4SA","Fridays Leicester","Unit MSU 11a, Leicester Highcross, Causeway Lane  Leicester LE1 4SA","","",""
"TGIFridays","","","LN2 1AT","Fridays Lincoln","238 High St Lincoln LN2 1AT","","",""
"TGIFridays","","","NN5 5QJ","Fridays Northampton","Walter Tull Way, Sixfields Northampton NN5 5QJ","","",""
"TGIFridays","","","NG1 4DB","Fridays Nottingham","Unit G3 The Cornerhouse, Burton Street Nottingham NG1 4DB","","",""
"TGIFridays","","","NN10 6FT","Fridays Rushden Lakes","Unit 9, West Terrace, West Terrace, Rushden Lakes, Rushden Rushden NN10 6FT","","",""
"TGIFridays","","","B16 9NY","Fridays Birmingham","180 Hagley Road Birmingham B16 9NY","","",""
"TGIFridays","","","B40 1NT","Fridays Birmingham NEC","Unit LG01, Resorts World, Pendigo Way Birmingham B40 1NT","","",""
"TGIFridays","","","GL51 7AY","Fridays Cheltenham","374 Gloucester Road,Cheltenham,GL51 7AY","","",""
"TGIFridays","","","CV3 2TA","Fridays Coventry","Rugby Road, Binley Woods,Coventry,CV3 2TA","","",""
"TGIFridays","","","ST1 5NS","Fridays Stoke On Trent","Unit 3, Junction of Etruria Road/Potteries Way,Hanley,ST1 5NS","","",""
"TGIFridays","","","B91 3GS","Fridays Solihull","23 Mill Lane Arcade, Touchwood,Solihull,B91 3GS","","",""
"TGIFridays","","","B72 1RX","Fridays Sutton Coldfield","4 Newhall Walk,Sutton Coldfield,B72 1RX","","",""
"TGIFridays","","","TF3 4JJ","Fridays Telford","Southwater Square, Southwater Way,Telford,TF3 4JJ","","",""
"TGIFridays","","","WS2 8LR","Fridays Walsall","Unit 1, Waterfront Development, Wolverhampton St,Walsall,WS2 8LR","","",""
"TGIFridays","","","CF24 1PQ","Fridays Cardiff Newport Road","Unit 7 City Link, Newport Road Cardiff CF24 1PQ","","",""
"TGIFridays","","","CF10 2EF","Fridays Cardiff St David's","15-17 Bridge Street Arcade, St David's Dewi Sant  Cardiff CF10 2EF","","",""
"TGIFridays","","","NP20 1DS","Fridays Newport Friars Walk","61 Usk Plaza, Friars Walk Shopping Centre Newport NP20 1DS","","",""
"TGIFridays","","","SA1 1EE","Fridays Swansea","The City Gates, 39-40 Wind Street Swansea SA1 1EE","","",""
"TGIFridays","","","BH2 5DD","Fridays Bournemouth","Exeter Crescent  Bournemouth BH2 5DD","","",""
"TGIFridays","","","BS10 7SR","Fridays Cribbs Causeway","The Venue at Cribbs Causeway, Merlin Road Bristol BS10 7SR","","",""
"TGIFridays","","","BS1 3BD","Fridays Cabot Circus","Cabot Circus Bristol BS1 3BD","","",""
"TGIFridays","","","GL1 5SH","Fridays Gloucester Quays","Unit 101 Gloucester Quays, St Ann Way Gloucester GL1 5SH","","",""
"TGIFridays","","","DA9 9SG","Fridays Bluewater","Water Circus Bluewater Greenhithe DA9 9SG","","",""
"TGIFridays","","","RG12 1BG","Fridays Bracknell","Unit 6F Eagle Lane Bracknell RG12 1BG","","",""
"TGIFridays","","","BN2 5ZB","Fridays Brighton Marina","8 The Boardwalk, Brighton Marina Village Brighton BN2 5ZB","","",""
"TGIFridays","","","RH10 8LR","Fridays Crawley","Unit 6 Crawley Leisure Park, London Road,Crawley,RH10 8LR","","",""
"TGIFridays","","","SO31 6AF","Fridays Fareham","Southampton Road, Park Gate,Fareham,SO31 6AF","","",""
"TGIFridays","","","HP11 1UA","Fridays High Wycombe","Crest Road,High Wycombe,HP11 1UA","","",""
"TGIFridays","","","MK1 1ST","Fridays Milton Keynes Stadium","Unit G1 & G2 MK1 Leisure Park Milton Keynes MK1 1ST","","",""
"TGIFridays","","","MK9 3PU","Fridays Milton Keynes","4 Savoy Crescent,Milton Keynes,MK9 3PU","","",""
"TGIFridays","","","RG1 8AJ","Fridays Reading - Caversham Road","Caversham Road Reading RG1 8AJ","","",""
"TGIFridays","","","RG1 2AG","Fridays Reading Oracle","Unit 8, Riverside Level, The Oracle Centre Reading RG1 2AG","","",""
"TGIFridays","","","SO15 1BA","Fridays Southampton Retail Park","3 Harbour Parade,Southampton,SO15 1BA","","",""
"TGIFridays","","","SO15 1DE","Fridays West Quay","Level 2, West Quay South,Southampton,SO15 1DE","","",""
"TGIFridays","","","CR0 4RS","Fridays Croydon","704 Purley Way,Croydon,CR0 4RS","","",""
"TGIFridays","","","EN1 1YQ","Fridays Enfield","Enfield Leisure Park, 200 Southbury Road,Enfield,EN1 1YQ","","",""
"TGIFridays","","","WC2H 7LA","Fridays London Leicester Square","29-30 Leicester Square London WC2H 7LA","","",""
"TGIFridays","","","HA9 0TG","Fridays London Stratford City Fridays London The O2 Fridays London Wembley","Fridays London Wembley 1 Wembley Park Boulevard,Wembley,HA9 0TG","","",""
"TGIFridays","","","TW18 4BL","Fridays Staines","Unit 45, Two Rivers Shopping Centre,Staines,TW18 4BL","","",""
"TGIFridays","","","RM1 1AU","Fridays Romford","Unit 9 The Brewery Shopping Centre,RM1 1AU","","",""
"TGIFridays","","","WD25 0LH","Fridays Watford North","859 St Albans Road,Watford,WD25 0LH","","",""
"TGIFridays","","","WD17 2DJ","Fridays Watford Central","45-47 High Street,Watford,WD17 2DJ","","",""
"TGIFridays","","","SS14 3WD","Fridays Basildon","Unit 4 Festival Link, Festival Leisure Park Basildon SS14 3WD","","",""
"TGIFridays","","","CM77 8YH","Fridays Braintree","Charter Way Braintree CM77 8YH","","",""
"TGIFridays","","","CM2 6JX","Fridays Chelmsford","24-30 Springfield Road Chelmsford CM2 6JX","","",""
"TGIFridays","","","RM20 3WE","Fridays Lakeside Retail Park","West Thurrock Way,Grays,RM20 3WE","","",""
"TGIFridays","","","RM20 2AD","Fridays Lakeside Quay","Unit 611, The Quay, Thurrock, Lakeside Shopping Centre,West Thurrock,Grays,RM20 2AD","","",""
"TGIFridays","","","NR1 1WX","Fridays Norwich","Riverside Leisure Park, Wherry Road,Norwich,NR1 1WX","","",""
"TGIFridays","","","SG1 2AU","Fridays Stevenage","Unit 1A, Stevenage Leisure Park,Stevenage,SG1 2AU","","",""
"TGIFridays","","","JE2 3WF","Fridays Jersey","La Rue De Letau, St Helier Jersey JE2 3WF","","",""